City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Loikaw,MM,19.6742,97.2094,86.05,58,58,2.06,broken clouds
1,Kerema,PG,-7.9631,145.7785,80.64,82,66,5.37,broken clouds
2,Lebu,CL,-37.6167,-73.65,49.8,87,54,12.12,broken clouds
3,Yaan,NG,7.3833,8.5667,71.49,97,100,5.39,overcast clouds
4,Glendive,US,47.1053,-104.7125,67.62,59,20,6.91,few clouds
5,Ponta Do Sol,PT,32.6667,-17.1,72.23,69,0,5.41,clear sky
6,Khandyga,RU,62.6667,135.6,82.83,43,47,4.09,scattered clouds
7,Severo-Kurilsk,RU,50.6789,156.125,55.0,82,95,5.19,overcast clouds
8,Albany,US,42.6001,-73.9662,62.53,83,1,3.62,clear sky
9,Saskylakh,RU,71.9167,114.0833,82.8,41,29,12.24,scattered clouds
10,Bredasdorp,ZA,-34.5322,20.0403,48.36,92,13,4.74,few clouds
11,Rikitea,PF,-23.1203,-134.9692,74.88,70,74,2.91,light rain
12,Benjamin Constant,BR,-4.3831,-70.0311,73.53,98,6,0.96,clear sky
13,Souillac,MU,-20.5167,57.5167,66.58,94,40,3.44,scattered clouds
14,Ambilobe,MG,-13.2,49.05,72.28,66,45,3.83,scattered clouds
15,Shyryayeve,UA,47.3805,30.1964,74.57,47,50,4.79,scattered clouds
16,Busselton,AU,-33.65,115.3333,60.85,64,97,4.03,overcast clouds
17,Vaini,TO,-21.2,-175.2,74.43,72,87,12.95,overcast clouds
18,Torbay,CA,47.6666,-52.7314,66.97,92,100,14.97,overcast clouds
19,Katsuura,JP,35.1333,140.3,83.23,80,40,15.23,scattered clouds
20,Atuona,PF,-9.8,-139.0333,77.56,74,12,17.67,few clouds
21,Samarai,PG,-10.6167,150.6667,80.22,80,58,11.99,broken clouds
22,Finschhafen,PG,-6.6024,147.8681,83.71,70,100,8.23,overcast clouds
23,Kapaa,US,22.0752,-159.319,84.18,78,100,16.11,overcast clouds
24,Cabrobo,BR,-8.5142,-39.31,70.45,79,100,15.97,overcast clouds
25,Barrow,US,71.2906,-156.7887,35.62,93,100,13.8,mist
26,East London,ZA,-33.0153,27.9116,63.54,59,0,11.5,clear sky
27,Chokurdakh,RU,70.6333,147.9167,62.02,30,51,11.9,broken clouds
28,Ola,RU,59.5833,151.2833,79.14,86,98,9.37,light rain
29,Honningsvag,NO,70.9821,25.9704,53.35,94,100,5.75,overcast clouds
30,Hilo,US,19.7297,-155.09,78.53,84,100,3.44,overcast clouds
31,Lorengau,PG,-2.0226,147.2712,85.28,68,25,11.32,scattered clouds
32,Abalak,RU,58.1286,68.5944,68.58,48,73,9.75,broken clouds
33,Bathsheba,BB,13.2167,-59.5167,81.21,87,40,14.97,scattered clouds
34,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,94,20,5.75,few clouds
35,Fortuna,US,40.5982,-124.1573,57.34,89,32,1.66,scattered clouds
36,Nyurba,RU,63.2842,118.3319,90.34,44,6,8.34,clear sky
37,Cape Town,ZA,-33.9258,18.4232,59.38,86,20,5.99,mist
38,Hermanus,ZA,-34.4187,19.2345,48.79,85,31,6.26,scattered clouds
39,Longyearbyen,SJ,78.2186,15.6401,48.04,76,75,3.44,broken clouds
40,Gorbatovka,RU,56.2531,43.7475,72.95,78,0,4.47,clear sky
41,Porec,HR,45.2258,13.5939,79.45,76,89,5.19,overcast clouds
42,Ushuaia,AR,-54.8,-68.3,35.26,64,0,10.36,clear sky
43,Yavatmal,IN,20.4,78.1333,81.32,73,100,8.5,overcast clouds
44,Georgetown,MY,5.4112,100.3354,87.75,70,40,11.5,scattered clouds
45,Mahebourg,MU,-20.4081,57.7,71.26,94,40,3.44,scattered clouds
46,Hobyo,SO,5.3505,48.5268,78.67,71,74,23.53,broken clouds
47,Kruisfontein,ZA,-34.0033,24.7314,54.88,86,66,14.72,broken clouds
48,Svetlogorsk,BY,52.6333,29.7333,66.56,74,100,6.62,overcast clouds
49,Naze,JP,28.3667,129.4833,76.12,71,20,6.96,moderate rain
50,Conceicao Das Alagoas,BR,-19.9147,-48.3883,71.38,43,0,5.84,clear sky
51,Yelan,RU,50.949,43.7378,72.91,68,4,4.34,clear sky
52,Srednekolymsk,RU,67.45,153.6833,59.2,34,42,14.88,scattered clouds
53,Baykit,RU,61.67,96.37,69.4,82,100,1.34,light rain
54,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,48,20,27.63,few clouds
55,West Bay,KY,19.3667,-81.4167,82.0,88,71,1.99,broken clouds
56,Mount Isa,AU,-20.7333,139.5,74.97,27,0,10.36,clear sky
57,Port Alfred,ZA,-33.5906,26.891,59.18,79,56,7.0,broken clouds
58,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,99,4.0,overcast clouds
59,New Norfolk,AU,-42.7826,147.0587,56.91,64,67,3.85,light rain
60,Atbasar,KZ,51.8,68.3333,77.5,35,49,5.88,light rain
61,Mar Del Plata,AR,-38.0023,-57.5575,53.1,98,100,4.61,fog
62,Waddan,LY,29.1614,16.139,76.78,43,3,3.31,clear sky
63,Tiksi,RU,71.6872,128.8694,56.21,71,80,4.47,broken clouds
64,Sao Filipe,CV,14.8961,-24.4956,77.04,85,55,2.75,broken clouds
65,Butaritari,KI,3.0707,172.7902,82.11,75,8,19.75,clear sky
66,Biak,ID,-0.9131,122.8766,76.35,90,99,6.98,light rain
67,The Valley,AI,18.217,-63.0578,81.1,77,1,18.75,clear sky
68,Narrabri,AU,-30.3167,149.7833,62.53,42,3,5.99,clear sky
69,Quatre Cocos,MU,-20.2078,57.7625,72.09,70,18,11.5,few clouds
70,Crotone,IT,39.0851,17.1178,81.19,55,0,4.68,clear sky
71,Thinadhoo,MV,0.5333,72.9333,76.41,91,100,12.26,overcast clouds
72,Brandon,US,27.9378,-82.2859,77.02,95,85,3.0,overcast clouds
73,Arman,RU,59.7,150.1667,79.02,74,62,7.0,broken clouds
74,Laguna,US,38.421,-121.4238,80.4,56,0,8.05,clear sky
75,Ribeira Grande,PT,38.5167,-28.7,73.72,82,30,9.4,scattered clouds
76,Tres Arroyos,AR,-38.3739,-60.2798,52.38,95,100,4.12,overcast clouds
77,Vardo,NO,70.3705,31.1107,60.78,94,75,17.27,broken clouds
78,Nikolskoye,RU,59.7035,30.7861,70.88,76,100,6.24,overcast clouds
79,Dolores,AR,-36.3132,-57.6792,60.33,99,100,2.39,heavy intensity rain
80,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.68,99,100,2.06,overcast clouds
81,Manavalakurichi,IN,8.1333,77.3,85.32,66,68,11.88,broken clouds
82,Tikapur,NP,28.5,81.1333,90.23,57,98,5.61,overcast clouds
83,Turochak,RU,52.2576,87.1224,74.5,46,0,3.2,clear sky
84,Airai,TL,-8.9266,125.4092,72.25,45,68,5.28,broken clouds
85,Takoradi,GH,4.8845,-1.7554,74.64,90,96,9.84,light rain
86,Bambous Virieux,MU,-20.3428,57.7575,72.21,94,40,3.44,scattered clouds
87,Khatanga,RU,71.9667,102.5,60.03,86,100,11.74,moderate rain
88,Banda Aceh,ID,5.5577,95.3222,85.3,66,100,3.62,light rain
89,Qaanaaq,GL,77.484,-69.3632,37.6,71,56,1.34,broken clouds
90,Toora-Khem,RU,52.4675,96.11,60.78,56,100,3.85,overcast clouds
91,Silver City,US,32.7701,-108.2803,73.36,69,0,11.5,clear sky
92,Hobart,AU,-42.8794,147.3294,57.25,66,20,11.5,few clouds
93,Zhezkazgan,KZ,47.8043,67.7144,82.38,36,0,11.18,clear sky
94,Amga,RU,60.8953,131.9608,85.21,34,43,1.5,scattered clouds
95,Pacific Grove,US,36.6177,-121.9166,60.91,88,75,4.61,broken clouds
96,Gaozhou,CN,21.9392,110.8461,92.19,56,81,1.36,broken clouds
97,Egvekinot,RU,66.3167,-179.1667,45.52,64,94,4.32,overcast clouds
