City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-07-27 00:52:37,-21.2,-175.2,73.92,72,100,12.5
1,Rikitea,PF,2022-07-27 00:52:37,-23.1203,-134.9692,75.04,73,55,8.88
2,Akdepe,TM,2022-07-27 00:52:38,42.0551,59.3788,75.29,39,0,1.01
3,Muroto,JP,2022-07-27 00:52:38,33.2833,134.15,81.91,81,88,7.29
4,Severo-Kurilsk,RU,2022-07-27 00:52:38,50.6789,156.125,55.02,82,100,6.42
5,Mandalgovi,MN,2022-07-27 00:52:39,45.7625,106.2708,57.45,59,0,11.83
6,Rincon,US,2022-07-27 00:52:39,32.296,-81.2354,84.16,65,40,10.36
7,Albany,US,2022-07-27 00:48:55,42.6001,-73.9662,67.89,72,0,4.36
8,Zhanakorgan,KZ,2022-07-27 00:52:40,43.9098,67.2495,76.19,42,0,10.67
9,Vao,NC,2022-07-27 00:52:40,-22.6667,167.4833,68.67,64,0,8.88
10,Ushuaia,AR,2022-07-27 00:52:40,-54.8,-68.3,33.46,69,0,8.05
11,Qaanaaq,GL,2022-07-27 00:52:41,77.484,-69.3632,40.69,69,58,0.94
12,Kazanka,UA,2022-07-27 00:52:41,47.8462,32.8218,62.51,70,0,3.94
13,Ambon,ID,2022-07-27 00:52:42,-3.6954,128.1814,80.74,74,75,8.05
14,Puerto Ayora,EC,2022-07-27 00:52:42,-0.7393,-90.3518,69.55,92,100,3.0
15,Carnarvon,AU,2022-07-27 00:52:42,-24.8667,113.6333,65.61,37,100,6.02
16,Vanimo,PG,2022-07-27 00:52:43,-2.6741,141.3028,85.17,65,94,5.57
17,Punta Arenas,CL,2022-07-27 00:52:43,-53.15,-70.9167,30.31,93,0,10.36
18,Balkhash,KZ,2022-07-27 00:52:43,46.844,74.9804,74.01,46,0,13.42
19,Tasiilaq,GL,2022-07-27 00:52:44,65.6145,-37.6368,36.55,94,100,2.8
20,Hobart,AU,2022-07-27 00:52:18,-42.8794,147.3294,53.46,72,20,10.36
21,Kaitangata,NZ,2022-07-27 00:52:44,-46.2817,169.8464,45.79,97,100,10.09
22,Ancud,CL,2022-07-27 00:52:45,-41.8697,-73.8203,49.23,94,98,8.46
23,Vestmannaeyjar,IS,2022-07-27 00:52:45,63.4427,-20.2734,53.47,99,100,14.05
24,Lebu,CL,2022-07-27 00:52:46,-37.6167,-73.65,51.28,85,43,14.34
25,Naples,IT,2022-07-27 00:52:46,40.8333,14.25,79.41,85,0,1.14
26,Maamba,ZM,2022-07-27 00:52:46,-17.3667,27.15,56.71,51,0,2.42
27,Fairbanks,US,2022-07-27 00:52:23,64.8378,-147.7164,57.09,71,75,13.8
28,Faanui,PF,2022-07-27 00:52:47,-16.4833,-151.75,78.44,73,22,9.31
29,Bandarbeyla,SO,2022-07-27 00:52:47,9.4942,50.8122,77.81,69,6,27.25
30,Portland,US,2022-07-27 00:48:21,45.5234,-122.6762,103.98,28,0,5.75
31,Dudinka,RU,2022-07-27 00:52:48,69.4058,86.1778,61.63,55,67,10.58
32,Thompson,CA,2022-07-27 00:52:48,55.7435,-97.8558,60.96,88,75,4.61
33,Kutum,SD,2022-07-27 00:52:48,14.2,24.6667,73.92,66,30,15.57
34,Hermanus,ZA,2022-07-27 00:48:11,-34.4187,19.2345,55.35,85,74,0.76
35,Port Elizabeth,ZA,2022-07-27 00:51:00,-33.918,25.5701,61.32,62,0,14.97
36,Ropczyce,PL,2022-07-27 00:52:49,50.0523,21.6089,60.82,95,53,4.81
37,Bluff,NZ,2022-07-27 00:52:49,-46.6,168.3333,47.8,91,100,20.36
38,Barrow,US,2022-07-27 00:52:50,71.2906,-156.7887,35.62,93,100,13.8
39,Diffa,NE,2022-07-27 00:52:50,13.3154,12.6113,83.34,63,100,16.93
40,Ordynskoye,RU,2022-07-27 00:52:50,54.3656,81.8994,67.1,65,68,4.79
41,Dologon,PH,2022-07-27 00:52:51,7.8408,125.0444,81.84,76,27,2.26
42,Busselton,AU,2022-07-27 00:52:38,-33.65,115.3333,53.1,77,100,8.03
43,Butaritari,KI,2022-07-27 00:52:51,3.0707,172.7902,81.9,76,6,19.69
44,Bredasdorp,ZA,2022-07-27 00:52:52,-34.5322,20.0403,49.55,94,8,5.64
45,Novopokrovka,UA,2022-07-27 00:52:52,49.8425,36.5477,61.2,91,17,4.36
46,Deputatskiy,RU,2022-07-27 00:52:52,69.3,139.9,58.24,52,21,10.76
47,Georgetown,MY,2022-07-27 00:50:56,5.4112,100.3354,82.89,90,20,4.61
48,Mataura,NZ,2022-07-27 00:52:53,-46.1927,168.8643,47.48,97,100,5.66
49,Gladstone,AU,2022-07-27 00:49:41,-23.85,151.25,62.53,36,0,12.66
50,Port Alfred,ZA,2022-07-27 00:53:53,-33.5906,26.891,63.28,56,29,16.15
